market,currency,date,actual_price,predicted_price,error,model_name,horizon_step
California,USD,2026-03-20,29.71,32.383260392557375,-2.673260392557374,Exponential Smoothing,1.0
California,USD,2026-03-23,32.92,32.372310676578344,0.5476893234216575,Exponential Smoothing,2.0
California,USD,2026-03-24,32.74,32.36136096059932,0.3786390394006815,Exponential Smoothing,3.0
California,USD,2026-03-25,32.9,32.3504112446203,0.5495887553797019,Exponential Smoothing,4.0
California,USD,2026-03-26,32.86,32.339461528641266,0.5205384713587335,Exponential Smoothing,5.0
California,USD,2026-03-27,32.44,32.32851181266224,0.1114881873377555,Exponential Smoothing,6.0
California,USD,2026-03-30,32.05,32.31756209668322,-0.2675620966832213,Exponential Smoothing,7.0
California,USD,2026-03-31,32.07,32.30661238070419,-0.2366123807041873,Exponential Smoothing,8.0
California,USD,2026-04-01,31.87,32.295662664725164,-0.4256626647251629,Exponential Smoothing,9.0
California,USD,2026-04-02,31.91,32.28471294874613,-0.3747129487461329,Exponential Smoothing,10.0
California,USD,2026-04-03,30.8,32.27376323276711,-1.4737632327671086,Exponential Smoothing,11.0
California,USD,2026-04-06,31.24,32.262813516788086,-1.0228135167880872,Exponential Smoothing,12.0
California,USD,2026-04-07,32.06,32.251863800809055,-0.1918638008090525,Exponential Smoothing,13.0
California,USD,2026-04-08,30.43,32.24091408483003,-1.8109140848300311,Exponential Smoothing,14.0
California,USD,2026-04-09,30.6,32.22996436885101,-1.629964368851006,Exponential Smoothing,15.0
California,USD,2026-04-10,31.9,32.21901465287198,-0.3190146528719779,Exponential Smoothing,16.0
California,USD,2026-04-13,32.04,32.20806493689295,-0.1680649368929536,Exponential Smoothing,17.0
California,USD,2026-04-14,31.88,32.19711522091393,-0.3171152209139301,Exponential Smoothing,18.0
California,USD,2026-04-15,30.27,32.1861655049349,-1.916165504934899,Exponential Smoothing,19.0
California,USD,2026-04-16,33.39,32.175215788955875,1.214784211044126,Exponential Smoothing,20.0
California,USD,2026-04-17,30.97,32.16426607297685,-1.194266072976852,Exponential Smoothing,21.0
California,USD,2026-04-20,31.43,32.15331635699782,-0.7233163569978203,Exponential Smoothing,22.0
California,USD,2026-04-21,31.08,32.142366641018796,-1.062366641018798,Exponential Smoothing,23.0
California,USD,2026-04-22,33.12,32.131416925039765,0.988583074960232,Exponential Smoothing,24.0
California,USD,2026-04-23,32.4,32.12046720906074,0.2795327909392568,Exponential Smoothing,25.0
California,USD,2026-04-24,31.67,32.10951749308172,-0.4395174930817163,Exponential Smoothing,26.0
California,USD,2026-04-27,31.59,32.09856777710269,-0.5085677771026873,Exponential Smoothing,27.0
California,USD,2026-04-28,32.16,32.08761806112366,0.0723819388763331,Exponential Smoothing,28.0
California,USD,2026-04-29,31.03,32.07666834514464,-1.0466683451446386,Exponential Smoothing,29.0
California,USD,2026-04-30,32.31,32.06571862916561,0.2442813708343933,Exponential Smoothing,30.0
California,USD,2026-03-20,29.71,32.54541002113596,-2.8354100211359565,ARIMA,1.0
California,USD,2026-03-23,32.92,32.51333600627657,0.4066639937234342,ARIMA,2.0
California,USD,2026-03-24,32.74,32.514613296603486,0.2253867033965164,ARIMA,3.0
California,USD,2026-03-25,32.9,32.51456243079868,0.3854375692013221,ARIMA,4.0
California,USD,2026-03-26,32.86,32.51456445643846,0.3454355435615426,ARIMA,5.0
California,USD,2026-03-27,32.44,32.51456437577097,-0.0745643757709757,ARIMA,6.0
California,USD,2026-03-30,32.05,32.514564378983415,-0.4645643789834182,ARIMA,7.0
California,USD,2026-03-31,32.07,32.51456437885549,-0.4445643788554889,ARIMA,8.0
California,USD,2026-04-01,31.87,32.514564378860584,-0.6445643788605828,ARIMA,9.0
California,USD,2026-04-02,31.91,32.51456437886038,-0.6045643788603776,ARIMA,10.0
