market,currency,date,actual_price,predicted_price,error,model_name,horizon_step
California,USD,2026-03-20,29.71,31.74,-2.0299999999999976,Naive Persistence,1
California,USD,2026-03-23,32.92,31.74,1.1800000000000033,Naive Persistence,2
California,USD,2026-03-24,32.74,31.74,1.0000000000000036,Naive Persistence,3
California,USD,2026-03-25,32.9,31.74,1.1600000000000001,Naive Persistence,4
California,USD,2026-03-26,32.86,31.74,1.120000000000001,Naive Persistence,5
California,USD,2026-03-27,32.44,31.74,0.6999999999999993,Naive Persistence,6
California,USD,2026-03-30,32.05,31.74,0.3099999999999987,Naive Persistence,7
California,USD,2026-03-31,32.07,31.74,0.33000000000000185,Naive Persistence,8
California,USD,2026-04-01,31.87,31.74,0.13000000000000256,Naive Persistence,9
California,USD,2026-04-02,31.91,31.74,0.1700000000000017,Naive Persistence,10
California,USD,2026-04-03,30.8,31.74,-0.9399999999999977,Naive Persistence,11
California,USD,2026-04-06,31.24,31.74,-0.5,Naive Persistence,12
California,USD,2026-04-07,32.06,31.74,0.32000000000000384,Naive Persistence,13
California,USD,2026-04-08,30.43,31.74,-1.3099999999999987,Naive Persistence,14
California,USD,2026-04-09,30.6,31.74,-1.139999999999997,Naive Persistence,15
California,USD,2026-04-10,31.9,31.74,0.16000000000000014,Naive Persistence,16
California,USD,2026-04-13,32.04,31.74,0.3000000000000007,Naive Persistence,17
California,USD,2026-04-14,31.88,31.74,0.14000000000000057,Naive Persistence,18
California,USD,2026-04-15,30.27,31.74,-1.4699999999999989,Naive Persistence,19
California,USD,2026-04-16,33.39,31.74,1.6500000000000021,Naive Persistence,20
California,USD,2026-04-17,30.97,31.74,-0.7699999999999996,Naive Persistence,21
California,USD,2026-04-20,31.43,31.74,-0.3099999999999987,Naive Persistence,22
California,USD,2026-04-21,31.08,31.74,-0.6600000000000001,Naive Persistence,23
California,USD,2026-04-22,33.12,31.74,1.379999999999999,Naive Persistence,24
California,USD,2026-04-23,32.4,31.74,0.6600000000000001,Naive Persistence,25
California,USD,2026-04-24,31.67,31.74,-0.06999999999999673,Naive Persistence,26
California,USD,2026-04-27,31.59,31.74,-0.14999999999999858,Naive Persistence,27
California,USD,2026-04-28,32.16,31.74,0.41999999999999815,Naive Persistence,28
California,USD,2026-04-29,31.03,31.74,-0.7099999999999973,Naive Persistence,29
California,USD,2026-04-30,32.31,31.74,0.5700000000000038,Naive Persistence,30
California,USD,2026-03-20,29.71,32.38326038653206,-2.673260386532057,Exponential Smoothing,1
California,USD,2026-03-23,32.92,32.37231066707283,0.5476893329271704,Exponential Smoothing,2
California,USD,2026-03-24,32.74,32.361360947613605,0.37863905238639717,Exponential Smoothing,3
California,USD,2026-03-25,32.9,32.35041122815438,0.5495887718456203,Exponential Smoothing,4
California,USD,2026-03-26,32.86,32.33946150869515,0.5205384913048476,Exponential Smoothing,5
California,USD,2026-03-27,32.44,32.328511789235925,0.11148821076407245,Exponential Smoothing,6
California,USD,2026-03-30,32.05,32.3175620697767,-0.2675620697767016,Exponential Smoothing,7
California,USD,2026-03-31,32.07,32.30661235031747,-0.23661235031747196,Exponential Smoothing,8
California,USD,2026-04-01,31.87,32.295662630858246,-0.42566263085824474,Exponential Smoothing,9
California,USD,2026-04-02,31.91,32.28471291139902,-0.3747129113990191,Exponential Smoothing,10
California,USD,2026-04-03,30.8,32.27376319193979,-1.473763191939792,Exponential Smoothing,11
California,USD,2026-04-06,31.24,32.262813472480566,-1.0228134724805678,Exponential Smoothing,12
California,USD,2026-04-07,32.06,32.25186375302134,-0.1918637530213374,Exponential Smoothing,13
California,USD,2026-04-08,30.43,32.24091403356211,-1.8109140335621134,Exponential Smoothing,14
California,USD,2026-04-09,30.6,32.22996431410289,-1.6299643141028852,Exponential Smoothing,15
California,USD,2026-04-10,31.9,32.21901459464366,-0.31901459464366155,Exponential Smoothing,16
California,USD,2026-04-13,32.04,32.208064875184434,-0.16806487518443447,Exponential Smoothing,17
California,USD,2026-04-14,31.88,32.19711515572521,-0.3171151557252081,Exponential Smoothing,18
California,USD,2026-04-15,30.27,32.18616543626598,-1.916165436265981,Exponential Smoothing,19
California,USD,2026-04-16,33.39,32.175215716806754,1.2147842831932465,Exponential Smoothing,20
California,USD,2026-04-17,30.97,32.16426599734753,-1.1942659973475287,Exponential Smoothing,21
California,USD,2026-04-20,31.43,32.1533162778883,-0.7233162778883013,Exponential Smoothing,22
California,USD,2026-04-21,31.08,32.142366558429075,-1.0623665584290762,Exponential Smoothing,23
California,USD,2026-04-22,33.12,32.13141683896985,0.9885831610301494,Exponential Smoothing,24
California,USD,2026-04-23,32.4,32.12046711951062,0.2795328804893771,Exponential Smoothing,25
California,USD,2026-04-24,31.67,32.109517400051395,-0.4395174000513933,Exponential Smoothing,26
California,USD,2026-04-27,31.59,32.09856768059217,-0.5085676805921686,Exponential Smoothing,27
California,USD,2026-04-28,32.16,32.08761796113294,0.07238203886705463,Exponential Smoothing,28
California,USD,2026-04-29,31.03,32.076668241673715,-1.0466682416737143,Exponential Smoothing,29
California,USD,2026-04-30,32.31,32.06571852221449,0.24428147778551335,Exponential Smoothing,30
California,USD,2026-03-20,29.71,32.54541001355597,-2.835410013555972,Best ARIMA,1
California,USD,2026-03-23,32.92,32.51333600627728,0.40666399372272366,Best ARIMA,2
California,USD,2026-03-24,32.74,32.51461329601244,0.2253867039875601,Best ARIMA,3
California,USD,2026-03-25,32.9,32.51456243024274,0.38543756975725785,Best ARIMA,4
California,USD,2026-03-26,32.86,32.51456445588067,0.34543554411933286,Best ARIMA,5
California,USD,2026-03-27,32.44,32.514564375213276,-0.07456437521327786,Best ARIMA,6
California,USD,2026-03-30,32.05,32.51456437842571,-0.4645643784257132,Best ARIMA,7
California,USD,2026-03-31,32.07,32.514564378297784,-0.44456437829778395,Best ARIMA,8
California,USD,2026-04-01,31.87,32.51456437830288,-0.6445643783028778,Best ARIMA,9
California,USD,2026-04-02,31.91,32.51456437830267,-0.6045643783026726,Best ARIMA,10
California,USD,2026-04-03,30.8,32.51456437830268,-1.7145643783026792,Best ARIMA,11
California,USD,2026-04-06,31.24,32.51456437830268,-1.2745643783026814,Best ARIMA,12
California,USD,2026-04-07,32.06,32.51456437830268,-0.4545643783026776,Best ARIMA,13
California,USD,2026-04-08,30.43,32.51456437830268,-2.08456437830268,Best ARIMA,14
California,USD,2026-04-09,30.6,32.51456437830268,-1.9145643783026784,Best ARIMA,15
California,USD,2026-04-10,31.9,32.51456437830268,-0.6145643783026813,Best ARIMA,16
California,USD,2026-04-13,32.04,32.51456437830268,-0.4745643783026807,Best ARIMA,17
California,USD,2026-04-14,31.88,32.51456437830268,-0.6345643783026809,Best ARIMA,18
California,USD,2026-04-15,30.27,32.51456437830268,-2.2445643783026803,Best ARIMA,19
California,USD,2026-04-16,33.39,32.51456437830268,0.8754356216973207,Best ARIMA,20
California,USD,2026-04-17,30.97,32.51456437830268,-1.544564378302681,Best ARIMA,21
California,USD,2026-04-20,31.43,32.51456437830268,-1.0845643783026802,Best ARIMA,22
California,USD,2026-04-21,31.08,32.51456437830268,-1.4345643783026816,Best ARIMA,23
California,USD,2026-04-22,33.12,32.51456437830268,0.6054356216973176,Best ARIMA,24
California,USD,2026-04-23,32.4,32.51456437830268,-0.11456437830268129,Best ARIMA,25
California,USD,2026-04-24,31.67,32.51456437830268,-0.8445643783026782,Best ARIMA,26
California,USD,2026-04-27,31.59,32.51456437830268,-0.92456437830268,Best ARIMA,27
California,USD,2026-04-28,32.16,32.51456437830268,-0.3545643783026833,Best ARIMA,28
California,USD,2026-04-29,31.03,32.51456437830268,-1.4845643783026787,Best ARIMA,29
California,USD,2026-04-30,32.31,32.51456437830268,-0.2045643783026776,Best ARIMA,30
China_ETS,CNY,2026-03-20,116.17,110.05,6.1200000000000045,Naive Persistence,1
China_ETS,CNY,2026-03-23,112.07,110.05,2.019999999999996,Naive Persistence,2
China_ETS,CNY,2026-03-24,111.63,110.05,1.5799999999999983,Naive Persistence,3
China_ETS,CNY,2026-03-25,119.52,110.05,9.469999999999999,Naive Persistence,4
China_ETS,CNY,2026-03-26,109.83,110.05,-0.21999999999999886,Naive Persistence,5
China_ETS,CNY,2026-03-27,114.25,110.05,4.200000000000003,Naive Persistence,6
China_ETS,CNY,2026-03-30,112.04,110.05,1.990000000000009,Naive Persistence,7
China_ETS,CNY,2026-03-31,111.64,110.05,1.5900000000000034,Naive Persistence,8
China_ETS,CNY,2026-04-01,109.7,110.05,-0.3499999999999943,Naive Persistence,9
China_ETS,CNY,2026-04-02,114.0,110.05,3.950000000000003,Naive Persistence,10
China_ETS,CNY,2026-04-03,111.41,110.05,1.3599999999999994,Naive Persistence,11
China_ETS,CNY,2026-04-06,115.7,110.05,5.650000000000006,Naive Persistence,12
China_ETS,CNY,2026-04-07,113.91,110.05,3.8599999999999994,Naive Persistence,13
China_ETS,CNY,2026-04-08,113.2,110.05,3.1500000000000057,Naive Persistence,14
China_ETS,CNY,2026-04-09,111.67,110.05,1.6200000000000045,Naive Persistence,15
China_ETS,CNY,2026-04-10,118.32,110.05,8.269999999999996,Naive Persistence,16
China_ETS,CNY,2026-04-13,116.41,110.05,6.359999999999999,Naive Persistence,17
China_ETS,CNY,2026-04-14,112.4,110.05,2.3500000000000085,Naive Persistence,18
China_ETS,CNY,2026-04-15,110.55,110.05,0.5,Naive Persistence,19
China_ETS,CNY,2026-04-16,109.14,110.05,-0.9099999999999966,Naive Persistence,20
China_ETS,CNY,2026-04-17,117.76,110.05,7.710000000000008,Naive Persistence,21
China_ETS,CNY,2026-04-20,117.22,110.05,7.170000000000002,Naive Persistence,22
China_ETS,CNY,2026-04-21,117.66,110.05,7.609999999999999,Naive Persistence,23
China_ETS,CNY,2026-04-22,114.32,110.05,4.269999999999996,Naive Persistence,24
China_ETS,CNY,2026-04-23,117.04,110.05,6.990000000000009,Naive Persistence,25
China_ETS,CNY,2026-04-24,117.73,110.05,7.680000000000007,Naive Persistence,26
China_ETS,CNY,2026-04-27,114.67,110.05,4.6200000000000045,Naive Persistence,27
China_ETS,CNY,2026-04-28,113.89,110.05,3.8400000000000034,Naive Persistence,28
China_ETS,CNY,2026-04-29,112.19,110.05,2.1400000000000006,Naive Persistence,29
China_ETS,CNY,2026-04-30,116.23,110.05,6.180000000000007,Naive Persistence,30
China_ETS,CNY,2026-03-20,116.17,114.28870612613993,1.8812938738600735,Exponential Smoothing,1
China_ETS,CNY,2026-03-23,112.07,114.33953364664362,-2.269533646643623,Exponential Smoothing,2
China_ETS,CNY,2026-03-24,111.63,114.3903611671473,-2.760361167147309,Exponential Smoothing,3
China_ETS,CNY,2026-03-25,119.52,114.441188687651,5.078811312348989,Exponential Smoothing,4
China_ETS,CNY,2026-03-26,109.83,114.4920162081547,-4.6620162081546965,Exponential Smoothing,5
China_ETS,CNY,2026-03-27,114.25,114.54284372865838,-0.29284372865838293,Exponential Smoothing,6
China_ETS,CNY,2026-03-30,112.04,114.59367124916207,-2.553671249162065,Exponential Smoothing,7
China_ETS,CNY,2026-03-31,111.64,114.64449876966576,-3.0044987696657586,Exponential Smoothing,8
China_ETS,CNY,2026-04-01,109.7,114.69532629016945,-4.995326290169444,Exponential Smoothing,9
China_ETS,CNY,2026-04-02,114.0,114.74615381067314,-0.7461538106731354,Exponential Smoothing,10
China_ETS,CNY,2026-04-03,111.41,114.79698133117682,-3.386981331176827,Exponential Smoothing,11
China_ETS,CNY,2026-04-06,115.7,114.84780885168053,0.8521911483194771,Exponential Smoothing,12
China_ETS,CNY,2026-04-07,113.91,114.89863637218421,-0.9886363721842173,Exponential Smoothing,13
China_ETS,CNY,2026-04-08,113.2,114.9494638926879,-1.7494638926878991,Exponential Smoothing,14
China_ETS,CNY,2026-04-09,111.67,115.00029141319159,-3.3302914131915884,Exponential Smoothing,15
China_ETS,CNY,2026-04-10,118.32,115.05111893369528,3.268881066304715,Exponential Smoothing,16
China_ETS,CNY,2026-04-13,116.41,115.10194645419897,1.3080535458010303,Exponential Smoothing,17
China_ETS,CNY,2026-04-14,112.4,115.15277397470265,-2.7527739747026487,Exponential Smoothing,18
China_ETS,CNY,2026-04-15,110.55,115.20360149520636,-4.65360149520636,Exponential Smoothing,19
China_ETS,CNY,2026-04-16,109.14,115.25442901571004,-6.114429015710044,Exponential Smoothing,20
China_ETS,CNY,2026-04-17,117.76,115.30525653621373,2.454743463786272,Exponential Smoothing,21
China_ETS,CNY,2026-04-20,117.22,115.35608405671742,1.8639159432825778,Exponential Smoothing,22
China_ETS,CNY,2026-04-21,117.66,115.40691157722111,2.2530884227788874,Exponential Smoothing,23
China_ETS,CNY,2026-04-22,114.32,115.4577390977248,-1.137739097724804,Exponential Smoothing,24
China_ETS,CNY,2026-04-23,117.04,115.50856661822849,1.5314333817715209,Exponential Smoothing,25
China_ETS,CNY,2026-04-24,117.73,115.55939413873219,2.1706058612678163,Exponential Smoothing,26
China_ETS,CNY,2026-04-27,114.67,115.61022165923588,-0.9402216592358741,Exponential Smoothing,27
China_ETS,CNY,2026-04-28,113.89,115.66104917973956,-1.7710491797395633,Exponential Smoothing,28
China_ETS,CNY,2026-04-29,112.19,115.71187670024325,-3.5218767002432543,Exponential Smoothing,29
China_ETS,CNY,2026-04-30,116.23,115.76270422074694,0.46729577925306387,Exponential Smoothing,30
China_ETS,CNY,2026-03-20,116.17,113.01979972505156,3.150200274948446,Best ARIMA,1
China_ETS,CNY,2026-03-23,112.07,113.01979972505156,-0.9497997250515624,Best ARIMA,2
China_ETS,CNY,2026-03-24,111.63,113.01979972505156,-1.3897997250515601,Best ARIMA,3
China_ETS,CNY,2026-03-25,119.52,113.01979972505156,6.50020027494844,Best ARIMA,4
China_ETS,CNY,2026-03-26,109.83,113.01979972505156,-3.1897997250515573,Best ARIMA,5
China_ETS,CNY,2026-03-27,114.25,113.01979972505156,1.2302002749484444,Best ARIMA,6
China_ETS,CNY,2026-03-30,112.04,113.01979972505156,-0.9797997250515493,Best ARIMA,7
China_ETS,CNY,2026-03-31,111.64,113.01979972505156,-1.379799725051555,Best ARIMA,8
China_ETS,CNY,2026-04-01,109.7,113.01979972505156,-3.3197997250515527,Best ARIMA,9
