iso3,country,region,delta_renewables,delta_coal,delta_fossil,delta_co2_intensity,renewables_share_2026,fossil_share_2026,coal_share_2026,clean_baseload_2026,co2_per_capita_2026,population_2026,cluster,archetype,fossil_norm,co2_norm,inertia_norm,cbam_risk_score,cbam_tier
QAT,Qatar,MENA,8.83,0.87,-6.35,-2.19,11.22,88.32,0.87,1.72,37.9,3.1,2,Fossil-Heavy High Emitters,0.8955701998950009,0.9999999732763236,0.6542588982475219,87.2,Severe CBAM Exposure
ARE,UAE,MENA,4.7,2.4,-5.76,-1.33,6.56,90.94,2.59,2.52,24.06,9.7,2,Fossil-Heavy High Emitters,0.9449575693693201,0.6301442910169884,0.7927565461852265,79.7,Severe CBAM Exposure
SAU,Saudi Arabia,MENA,1.9,-0.35,-4.01,-0.85,5.91,91.98,0.88,2.67,17.78,36.9,2,Fossil-Heavy High Emitters,0.964561716030882,0.46231960282416884,0.8866532566514669,76.9,Severe CBAM Exposure
KWT,Kuwait,MENA,6.5,0.67,-6.72,-1.64,10.51,88.97,1.14,2.67,21.68,4.6,2,Fossil-Heavy High Emitters,0.9078227915584771,0.5665419410330855,0.7323943751712148,74.5,Severe CBAM Exposure
RUS,Russia,Eurasia,-0.04,-3.93,-2.14,-1.83,3.45,89.52,12.13,8.91,12.44,147.5,1,Slow Transition / Coal Reliant,0.91819036911988,0.31961517050734445,0.9517102631887906,71.7,Severe CBAM Exposure
KAZ,Kazakhstan,Eurasia,-1.48,-3.04,-0.45,-1.22,6.62,85.26,11.68,10.18,13.91,20.5,1,Slow Transition / Coal Reliant,0.8378887683715597,0.3588989749091669,1.0,71.1,Severe CBAM Exposure
IRN,Iran,MENA,2.26,1.64,-1.66,-0.61,6.14,93.86,1.64,0.0,8.8,91.2,1,Slow Transition / Coal Reliant,0.999999981149859,0.22234098817902223,0.8745808224486646,69.6,Moderate Risk
IRQ,Iraq,MENA,2.75,0.87,-1.15,-0.19,6.52,92.53,1.63,2.14,5.18,46.1,1,Slow Transition / Coal Reliant,0.9749292935922849,0.12560127937997648,0.8581488981170725,64.8,Moderate Risk
ISR,Israel,MENA,3.9,0.36,-4.79,-1.24,7.59,91.52,0.36,2.86,5.28,9.9,1,Slow Transition / Coal Reliant,0.9558906511613449,0.128273647026359,0.8195841777470094,63.2,Moderate Risk
TUR,Turkey,MENA,4.4,-0.13,-5.03,-0.3,7.8,91.55,0.0,1.09,5.6,89.1,1,Slow Transition / Coal Reliant,0.9564561553919669,0.1368252234947829,0.8028169080208951,63.1,Moderate Risk
EGY,Egypt,MENA,3.58,2.02,-0.72,-0.15,6.63,93.37,2.38,0.43,2.71,115.7,1,Slow Transition / Coal Reliant,0.9907634120497002,0.05959379851432928,0.8303152303717226,62.5,Moderate Risk
DZA,Algeria,MENA,5.64,-0.71,-4.95,-0.29,10.28,88.26,0.52,4.2,4.35,46.1,1,Slow Transition / Coal Reliant,0.8944391914337572,0.10342062791500192,0.7612340791001315,58.4,Moderate Risk
USA,United States,North America,10.09,-18.29,-9.89,-3.33,15.05,77.18,5.95,10.85,13.97,343.1,3,Rapid Clean Energy Adopters,0.6855796289240411,0.3605023954969964,0.6120053785377138,55.3,Moderate Risk
KOR,South Korea,Asia,7.46,-8.66,-6.71,-1.56,20.83,76.85,26.39,11.55,11.07,53.3,1,Slow Transition / Coal Reliant,0.6793590823871991,0.2830037337519045,0.7002012172970753,54.6,Moderate Risk
MYS,Malaysia,Asia,5.98,-8.23,-6.8,-0.53,23.71,74.68,26.19,9.95,8.33,34.8,1,Slow Transition / Coal Reliant,0.6384542763722099,0.20978086024102457,0.7498323356863736,51.6,Moderate Risk
