country,iso3,region,archetype,scenario,year,population_millions,coal_pct,oil_pct,gas_pct,nuclear_pct,hydro_pct,solar_pct,wind_pct,other_renewables_pct,renewables_total_pct,fossil_total_pct,clean_baseload_pct,fossil_ratio,coal_to_gas_ratio,pred_co2_per_capita_t,pred_co2_emissions_mt
Algeria,DZA,MENA,Slow Transition / Coal Reliant,BAU,2026,46.1,0.52,43.39,44.34,1.46,2.74,5.49,1.38,0.67,10.28,88.25,4.2,8.5763,0.0117,4.35,200.54
Algeria,DZA,MENA,Slow Transition / Coal Reliant,BAU,2027,46.409,0.31,43.26,44.46,1.46,2.74,5.62,1.48,0.68,10.52,88.02,4.2,8.3579,0.0069,3.9326,182.51
Algeria,DZA,MENA,Slow Transition / Coal Reliant,BAU,2028,46.72,0.09,43.12,44.56,1.46,2.74,5.76,1.57,0.69,10.76,87.78,4.2,8.1483,0.0021,3.9662,185.3
Algeria,DZA,MENA,Slow Transition / Coal Reliant,BAU,2029,47.034,0.0,42.99,44.55,1.46,2.74,5.89,1.67,0.71,11.0,87.54,4.2,7.9479,0.0,3.9662,186.55
Algeria,DZA,MENA,Slow Transition / Coal Reliant,BAU,2030,47.349,0.0,42.86,44.44,1.46,2.74,6.02,1.77,0.72,11.24,87.3,4.2,7.7561,0.0,3.9326,186.2
Algeria,DZA,MENA,Slow Transition / Coal Reliant,Moderate,2026,46.1,0.52,43.39,44.34,1.46,2.74,5.49,1.38,0.67,10.28,88.25,4.2,8.5763,0.0117,4.35,200.54
Algeria,DZA,MENA,Slow Transition / Coal Reliant,Moderate,2027,46.409,0.0,42.39,43.77,1.56,2.74,6.59,2.18,0.77,12.28,86.16,4.3,7.0106,0.0,3.7696,174.94
Algeria,DZA,MENA,Slow Transition / Coal Reliant,Moderate,2028,46.72,0.0,41.39,42.67,1.66,2.74,7.69,2.98,0.87,14.28,84.06,4.4,5.8824,0.0,3.7202,173.81
Algeria,DZA,MENA,Slow Transition / Coal Reliant,Moderate,2029,47.034,0.0,40.39,41.57,1.76,2.74,8.79,3.78,0.97,16.28,81.96,4.5,5.0313,0.0,3.6788,173.03
Algeria,DZA,MENA,Slow Transition / Coal Reliant,Moderate,2030,47.349,0.0,39.39,40.47,1.86,2.74,9.89,4.58,1.07,18.28,79.86,4.6,4.3663,0.0,3.644,172.54
