iso3,country,region,archetype,cluster,delta_renewables,delta_coal,renewables_share_2026,fossil_share_2026,co2_per_capita_2026,population_2026
DZA,Algeria,MENA,Slow Transition / Coal Reliant,1,5.64,-0.71,10.28,88.26,4.35,46.1
ARG,Argentina,LatAm,Nuclear & Hydro Baseloaders,0,10.58,-2.98,44.34,55.17,3.78,47.1
AUS,Australia,Oceania,Rapid Clean Energy Adopters,3,21.59,-21.37,33.84,65.69,13.78,27.7
BGD,Bangladesh,Asia,Slow Transition / Coal Reliant,1,2.77,-5.72,20.15,77.8,0.76,177.2
BEL,Belgium,Europe,Rapid Clean Energy Adopters,3,18.2,-11.16,27.77,63.16,6.69,12.3
BRA,Brazil,LatAm,Nuclear & Hydro Baseloaders,0,9.07,-3.41,51.49,47.59,2.11,222.3
CAN,Canada,North America,Rapid Clean Energy Adopters,3,12.84,-16.32,18.39,74.54,13.87,41.0
CHL,Chile,LatAm,Nuclear & Hydro Baseloaders,0,8.54,-1.52,41.13,56.3,4.41,20.0
CHN,China,Asia,Rapid Clean Energy Adopters,3,11.61,-15.94,17.98,79.04,8.46,1444.1
COL,Colombia,LatAm,Nuclear & Hydro Baseloaders,0,8.19,-3.21,42.02,55.65,1.74,53.3
CZE,Czech Republic,Europe,Rapid Clean Energy Adopters,3,18.3,-11.58,29.66,60.16,7.99,11.3
DNK,Denmark,Europe,Rapid Clean Energy Adopters,3,16.26,-9.87,25.73,62.19,4.07,6.1
EGY,Egypt,MENA,Slow Transition / Coal Reliant,1,3.58,2.02,6.63,93.37,2.71,115.7
FIN,Finland,Europe,Rapid Clean Energy Adopters,3,17.61,-10.4,28.55,62.58,5.79,5.7
FRA,France,Europe,Nuclear & Hydro Baseloaders,0,11.7,-4.84,18.75,40.81,4.15,66.6
DEU,Germany,Europe,Rapid Clean Energy Adopters,3,28.34,-15.53,30.78,68.99,6.57,86.0
IND,India,Asia,Slow Transition / Coal Reliant,1,11.48,-5.49,15.72,83.1,2.13,1464.6
IDN,Indonesia,Asia,Slow Transition / Coal Reliant,1,3.03,-8.74,21.78,74.01,2.75,286.8
IRN,Iran,MENA,Slow Transition / Coal Reliant,1,2.26,1.64,6.14,93.86,8.8,91.2
IRQ,Iraq,MENA,Slow Transition / Coal Reliant,1,2.75,0.87,6.52,92.53,5.18,46.1
ISR,Israel,MENA,Slow Transition / Coal Reliant,1,3.9,0.36,7.59,91.52,5.28,9.9
ITA,Italy,Europe,Rapid Clean Energy Adopters,3,19.12,-10.92,30.2,59.47,4.87,60.4
JPN,Japan,Asia,Slow Transition / Coal Reliant,1,9.18,3.47,14.35,78.67,7.33,127.0
KAZ,Kazakhstan,Eurasia,Slow Transition / Coal Reliant,1,-1.48,-3.04,6.62,85.26,13.91,20.5
KEN,Kenya,Africa,Nuclear & Hydro Baseloaders,0,4.11,-1.77,44.25,55.15,0.48,57.4
KWT,Kuwait,MENA,Fossil-Heavy High Emitters,2,6.5,0.67,10.51,88.97,21.68,4.6
