year,country,iso3,region,co2_emissions_mt,population_millions,co2_per_capita_t,co2_intensity_kg_per_gdp_usd,coal_pct,oil_pct,gas_pct,nuclear_pct,hydro_pct,solar_pct,wind_pct,other_renewables_pct,renewables_total_pct,fossil_total_pct,clean_baseload_pct,fossil_ratio,coal_to_gas_ratio,renewables_plus_nuclear_pct
2000,Algeria,DZA,MENA,102.0,38.2,2.67,0.53,1.23,47.67,44.31,2.15,2.1,0.0,0.42,2.11,4.64,93.21,4.25,20.0452,0.0278,6.79
2001,Algeria,DZA,MENA,103.0,38.6,2.67,0.49,0.93,48.45,43.49,1.61,0.7,1.62,0.79,2.41,5.52,92.87,2.31,16.7939,0.0214,7.13
2002,Algeria,DZA,MENA,105.4,38.9,2.71,0.45,1.4,47.57,43.12,0.83,1.86,0.52,1.87,2.83,7.09,92.08,2.69,12.969,0.0325,7.92
2003,Algeria,DZA,MENA,108.1,39.2,2.76,0.42,0.37,51.3,42.52,1.62,0.3,2.44,0.36,1.08,4.18,94.19,1.92,22.4797,0.0087,5.8
2004,Algeria,DZA,MENA,111.1,39.5,2.82,0.4,0.75,49.86,45.93,0.69,0.26,1.07,0.56,0.87,2.76,96.55,0.95,34.8556,0.0163,3.45
2005,Algeria,DZA,MENA,112.6,39.8,2.83,0.38,0.0,46.39,42.8,1.63,1.46,2.38,1.12,4.22,9.18,89.2,3.09,9.7062,0.0,10.81
2006,Algeria,DZA,MENA,116.7,40.1,2.91,0.36,4.1,47.09,42.8,0.99,1.5,1.08,0.93,1.5,5.02,93.99,2.49,18.6859,0.0958,6.01
2007,Algeria,DZA,MENA,123.7,40.4,3.07,0.36,0.31,48.6,45.25,1.86,0.52,1.07,0.85,1.55,3.98,94.16,2.38,23.599,0.0068,5.84
2008,Algeria,DZA,MENA,123.6,40.7,3.04,0.34,2.07,46.53,42.93,1.28,1.37,0.66,1.62,3.54,7.19,91.53,2.65,12.7125,0.0482,8.47
2009,Algeria,DZA,MENA,128.3,41.0,3.13,0.33,0.37,50.13,42.94,2.09,0.14,2.73,0.0,1.6,4.47,93.44,2.23,20.8571,0.0086,6.56
2010,Algeria,DZA,MENA,125.2,41.3,3.03,0.3,0.19,46.79,45.78,0.87,3.04,1.5,1.83,0.0,6.38,92.75,3.91,14.5149,0.0041,7.25
2011,Algeria,DZA,MENA,138.2,41.6,3.32,0.32,0.72,47.78,46.96,1.2,0.0,0.81,0.0,2.53,3.35,95.46,1.2,28.4107,0.0153,4.55
2012,Algeria,DZA,MENA,143.7,41.9,3.43,0.31,1.8,47.28,44.35,1.71,0.0,2.76,0.83,1.26,4.85,93.44,1.71,19.2263,0.0406,6.56
2013,Algeria,DZA,MENA,149.9,42.2,3.55,0.31,1.36,46.41,44.36,0.0,1.57,3.44,0.8,2.05,7.86,92.14,1.57,11.7078,0.0307,7.86
2014,Algeria,DZA,MENA,158.4,42.5,3.73,0.31,0.9,48.72,45.55,0.0,1.84,1.07,0.83,1.09,4.83,95.17,1.84,19.6632,0.0198,4.83
2015,Algeria,DZA,MENA,163.8,42.8,3.83,0.31,0.55,47.05,44.07,1.5,1.05,2.26,1.91,1.62,6.83,91.66,2.55,13.4006,0.0125,8.33
2016,Algeria,DZA,MENA,161.7,43.1,3.75,0.29,1.57,46.66,44.79,1.52,0.67,1.59,0.79,2.39,5.45,93.03,2.19,17.0385,0.035,6.97
2017,Algeria,DZA,MENA,171.3,43.4,3.95,0.29,1.36,43.57,46.17,1.94,0.7,4.29,1.29,0.67,6.94,91.11,2.64,13.1094,0.0294,8.88
2018,Algeria,DZA,MENA,171.6,43.7,3.93,0.28,2.23,44.46,44.14,0.83,0.17,3.7,1.97,2.51,8.35,90.83,1.0,10.8648,0.0505,9.18
2019,Algeria,DZA,MENA,172.2,44.0,3.92,0.27,1.74,44.95,43.96,1.17,0.97,3.18,2.65,1.38,8.19,90.64,2.14,11.0537,0.0396,9.36
