year,country,iso3,region,population_millions,co2_per_capita_t,coal_pct,oil_pct,gas_pct,nuclear_pct,hydro_pct,solar_pct,wind_pct,other_renewables_pct,renewables_total_pct,fossil_total_pct,clean_baseload_pct,fossil_ratio,coal_to_gas_ratio,renewables_plus_nuclear_pct,grid_emission_factor,vre_pct,fossil_to_renew_ratio,low_carbon_pct,coal_oil_pct,log_population,split,pred_co2_per_capita_t,ridge_pred_co2_per_capita_t,residual
2000,Algeria,DZA,MENA,38.2,2.67,1.23,47.67,44.31,2.15,2.1,0.0,0.42,2.11,4.64,93.21,4.25,20.0452,0.027752707581227436,6.79,0.56922,0.42,20.045161290322582,6.789999999999999,48.9,3.6686767467964168,train,,,
2001,Algeria,DZA,MENA,38.6,2.67,0.93,48.45,43.49,1.61,0.7,1.62,0.79,2.41,5.52,92.87,2.31,16.7939,0.02137931034482759,7.13,0.5683800000000001,2.41,16.793851717902353,7.13,49.38,3.6788291182604347,train,,,
2002,Algeria,DZA,MENA,38.9,2.71,1.4,47.57,43.12,0.83,1.86,0.52,1.87,2.83,7.09,92.08,2.69,12.969,0.03246000463714352,7.92,0.564815,2.39,12.969014084507043,7.92,48.97,3.686376323895818,train,,,
2003,Algeria,DZA,MENA,39.2,2.76,0.37,51.3,42.52,1.62,0.3,2.44,0.36,1.08,4.18,94.19,1.9200000000000002,22.4797,0.008699741359040676,5.8,0.5797899999999999,2.8,22.479713603818617,5.8,51.669999999999995,3.6938669956249757,train,,,
2004,Algeria,DZA,MENA,39.5,2.82,0.75,49.86,45.93,0.69,0.26,1.07,0.56,0.87,2.76,96.55,0.95,34.8556,0.01632564214192425,3.45,0.588135,1.6300000000000001,34.85559566787004,3.4499999999999997,50.61,3.7013019741124933,train,,,
2005,Algeria,DZA,MENA,39.8,2.83,0.0,46.39,42.8,1.63,1.46,2.38,1.12,4.22,9.18,89.2,3.09,9.7062,0.0,10.81,0.540525,3.5,9.706202393906421,10.809999999999999,46.39,3.708682081410116,train,,,
2006,Algeria,DZA,MENA,40.1,2.91,4.1,47.09,42.8,0.99,1.5,1.08,0.93,1.5,5.02,93.99,2.49,18.6859,0.09577201588413922,6.01,0.586775,2.0100000000000002,18.68588469184891,6.01,51.190000000000005,3.716008121502189,train,,,
2007,Algeria,DZA,MENA,40.4,3.07,0.31,48.6,45.25,1.86,0.52,1.07,0.85,1.55,3.98,94.16,2.38,23.599,0.006849315068493151,5.84,0.571225,1.92,23.598997493734338,5.84,48.910000000000004,3.7232808808312687,train,,,
2008,Algeria,DZA,MENA,40.7,3.04,2.07,46.53,42.93,1.28,1.37,0.66,1.62,3.54,7.19,91.53,2.6500000000000004,12.7125,0.04820680018630647,8.47,0.56286,2.2800000000000002,12.7125,8.47,48.6,3.730501128804756,train,,,
2009,Algeria,DZA,MENA,41.0,3.13,0.37,50.13,42.94,2.09,0.14,2.73,0.0,1.6,4.47,93.44,2.23,20.8571,0.00861466821885914,6.56,0.572905,2.73,20.857142857142858,6.56,50.5,3.7376696182833684,train,,,
2010,Algeria,DZA,MENA,41.3,3.03,0.19,46.79,45.78,0.87,3.04,1.5,1.83,0.0,6.38,92.75,3.91,14.5149,0.004149377593360996,7.25,0.558835,3.33,14.514866979655713,7.25,46.98,3.744787086052232,train,,,
2011,Algeria,DZA,MENA,41.6,3.32,0.72,47.78,46.96,1.2,0.0,0.81,0.0,2.53,3.35,95.46,1.2,28.4107,0.015328933361720247,4.55,0.57687,0.81,28.410714285714285,4.55,48.5,3.751854253275325,train,,,
2012,Algeria,DZA,MENA,41.9,3.43,1.8,47.28,44.35,1.71,0.0,2.76,0.83,1.26,4.85,93.44,1.71,19.2263,0.04057709648331831,6.56,0.572175,3.59,19.226337448559672,6.56,49.08,3.758871825933971,train,,,
2013,Algeria,DZA,MENA,42.2,3.55,1.36,46.41,44.36,0.0,1.57,3.44,0.8,2.05,7.86,92.14,1.57,11.7078,0.030651340996168588,7.86,0.5612949999999999,4.24,11.707750952986023,7.86,47.769999999999996,3.765840495250065,train,,,
2014,Algeria,DZA,MENA,42.5,3.73,0.9,48.72,45.55,0.0,1.84,1.07,0.83,1.09,4.83,95.17,1.84,19.6632,0.01975417032484636,4.83,0.579375,1.9,19.66322314049587,4.83,49.62,3.7727609380946383,train,,,
2015,Algeria,DZA,MENA,42.8,3.83,0.55,47.05,44.07,1.5,1.05,2.26,1.91,1.62,6.83,91.66,2.55,13.4006,0.012477313974591652,8.33,0.55669,4.17,13.400584795321636,8.33,47.599999999999994,3.7796338173824005,train,,,
2016,Algeria,DZA,MENA,43.1,3.75,1.57,46.66,44.79,1.52,0.67,1.59,0.79,2.39,5.45,93.03,2.19,17.0385,0.03504464285714286,6.97,0.567205,2.38,17.03846153846154,6.970000000000001,48.23,3.7864597824528,train,,,
2017,Algeria,DZA,MENA,43.4,3.95,1.36,43.57,46.17,1.94,0.7,4.29,1.29,0.67,6.94,91.11,2.6399999999999997,13.1094,0.02944997834560416,8.88,0.5481400000000001,5.58,13.109352517985611,8.88,44.93,3.7932394694381792,train,,,
2018,Algeria,DZA,MENA,43.7,3.93,2.23,44.46,44.14,0.83,0.17,3.7,1.97,2.51,8.35,90.83,1.0,10.8648,0.05050962627406569,9.18,0.55438,5.67,10.864832535885167,9.18,46.69,3.7999735016195233,train,,,
2019,Algeria,DZA,MENA,44.0,3.92,1.74,44.95,43.96,1.17,0.97,3.18,2.65,1.38,8.19,90.64,2.1399999999999997,11.0537,0.03957243575164885,9.36,0.5523450000000001,5.83,11.053658536585367,9.36,46.690000000000005,3.8066624897703196,train,,,
2020,Algeria,DZA,MENA,44.3,3.89,1.49,45.58,43.56,3.47,0.06,3.13,0.0,2.7,5.89,90.64,3.5300000000000002,15.3627,0.03419784255221483,9.36,0.55277,3.13,15.362711864406782,9.36,47.07,3.8133070324889884,train,,,
2021,Algeria,DZA,MENA,44.6,3.95,1.75,44.09,42.85,2.32,1.32,5.29,0.73,1.65,8.99,88.69,3.6399999999999997,9.8544,0.0408306112925805,11.31,0.541,6.02,9.854444444444445,11.31,45.84,3.8199077165203406,validation,3.299741297640319,4.966534856668307,0.6502587023596811
2022,Algeria,DZA,MENA,44.9,4.14,1.28,44.5,44.22,0.0,1.47,4.92,1.81,1.79,10.0,90.0,1.47,8.991,0.028939633732760574,10.0,0.54554,6.73,8.991008991008991,10.0,45.78,3.8264651170664994,validation,3.361910351039993,4.144937040325496,0.7780896489600067
2023,Algeria,DZA,MENA,45.2,4.31,0.82,44.38,43.22,2.25,2.31,4.05,1.2,1.78,9.33,88.42,4.5600000000000005,9.4668,0.018968309044644922,11.58,0.53554,5.25,9.466809421841543,11.58,45.2,3.832979798087693,validation,3.2900568794968486,4.907840955963447,1.019943120503151
2024,Algeria,DZA,MENA,45.5,4.3,0.0,46.71,46.12,0.94,0.7,3.36,1.13,1.04,6.23,92.83,1.64,14.8766,0.0,7.17,0.5578649999999999,4.49,14.876602564102564,7.17,46.71,3.8394523125933104,validation,3.2276381353290984,4.712692722143927,1.0723618646709014
2025,Algeria,DZA,MENA,45.8,4.22,2.13,46.05,44.34,0.3,1.61,4.7,0.7,0.17,7.18,92.52,1.9100000000000001,12.8679,0.04802705749718151,7.48,0.566205,5.4,12.867872044506258,7.4799999999999995,48.18,3.845883202923601,validation,3.1624388110545087,5.3827405270157795,1.057561188945491
2026,Algeria,DZA,MENA,46.1,4.35,0.52,43.39,44.34,1.46,2.74,5.49,1.38,0.67,10.28,88.26,4.2,8.5773,0.011724915445321308,11.74,0.5301550000000002,6.87,8.57725947521866,11.739999999999998,43.910000000000004,3.8522730010223722,validation,3.243364263651955,5.007487098079396,1.1066357363480446
2000,Argentina,ARG,LatAm,39.1,3.55,5.21,44.99,14.93,1.11,25.58,0.45,0.0,7.74,33.76,65.13,26.689999999999998,1.9286,0.34872824631860777,34.87,0.45671,0.45,1.9286348830322773,34.87,50.2,3.6913763343125234,train,,,
2001,Argentina,ARG,LatAm,39.4,3.73,4.6,45.61,14.35,1.68,25.14,0.0,1.47,7.14,33.75,64.57,26.82,1.9126,0.3203342618384401,35.43,0.45265,1.47,1.912618483412322,35.43,50.21,3.6988297849671046,train,,,
2002,Argentina,ARG,LatAm,39.7,3.74,3.89,42.74,15.62,3.06,23.35,0.79,1.26,9.29,34.69,62.24,26.41,1.7937,0.2488803582853487,37.75,0.42974,2.05,1.7936599423631128,37.75,46.63,3.7062280924485496,train,,,
2003,Argentina,ARG,LatAm,40.0,3.96,5.12,45.69,15.46,1.53,24.26,0.25,0.29,7.4,32.2,66.26,25.790000000000003,2.0571,0.33096315449256625,33.73,0.46344499999999994,0.54,2.057125116423471,33.730000000000004,50.809999999999995,3.713572066704308,train,,,
2004,Argentina,ARG,LatAm,40.3,3.95,3.12,45.01,14.98,1.14,26.25,0.98,0.84,7.67,35.75,63.11,27.39,1.7648,0.20813875917278185,36.89,0.436185,1.8199999999999998,1.7648210290827742,36.89,48.129999999999995,3.720862499966987,train,,,
2005,Argentina,ARG,LatAm,40.6,4.06,5.6,44.81,14.66,0.83,24.75,0.44,0.8,8.1,34.09,65.08,25.58,1.9085,0.3817314246762099,34.92,0.45804500000000004,1.24,1.9085043988269794,34.92,50.410000000000004,3.728100167267218,train,,,
2006,Argentina,ARG,LatAm,40.9,4.2,4.88,41.59,15.34,2.08,25.34,1.61,2.03,7.13,36.11,61.81,27.42,1.7112,0.31791530944625407,38.19,0.42975500000000005,3.6399999999999997,1.7112403100775195,38.19,46.470000000000006,3.735285826928092,train,,,
2007,Argentina,ARG,LatAm,41.3,4.24,5.31,43.14,13.31,2.53,23.83,1.79,1.01,9.08,35.71,61.75,26.36,1.7287,0.39864864864864863,38.24,0.43654500000000007,2.8,1.7287234042553192,38.24,48.45,3.744787086052232,train,,,
2008,Argentina,ARG,LatAm,41.6,4.31,5.37,41.82,15.15,0.96,25.89,2.17,1.19,7.45,36.7,62.34,26.85,1.6982,0.35422163588390504,37.66,0.435525,3.36,1.6981748842277309,37.660000000000004,47.19,3.751854253275325,train,,,
2009,Argentina,ARG,LatAm,41.9,4.42,4.42,45.71,13.81,1.47,25.09,0.0,2.21,7.29,34.59,63.94,26.56,1.848,0.31982633863965265,36.06,0.44917,2.21,1.8479768786127166,36.06,50.13,3.758871825933971,train,,,
2010,Argentina,ARG,LatAm,42.2,4.56,3.49,41.35,14.24,0.85,25.2,2.39,4.23,8.25,40.07,59.07,26.05,1.4738,0.24491228070175441,40.92,0.40910500000000005,6.620000000000001,1.473802395209581,40.92,44.84,3.765840495250065,train,,,
2011,Argentina,ARG,LatAm,42.5,4.47,5.09,43.19,13.31,1.41,25.52,1.65,2.13,7.7,37.0,61.59,26.93,1.6641,0.3821321321321321,38.41,0.43472,3.78,1.6641448257227778,38.41,48.28,3.7727609380946383,train,,,
2012,Argentina,ARG,LatAm,42.8,4.52,2.69,43.08,14.36,1.5,26.12,3.46,2.39,6.4,38.36,60.14,27.62,1.5674,0.1871955462769659,39.86,0.41462000000000004,5.85,1.567370341412562,39.86,45.769999999999996,3.7796338173824005,train,,,
2013,Argentina,ARG,LatAm,43.1,4.55,4.53,41.72,13.9,0.0,25.3,4.04,2.47,8.03,39.85,60.15,25.3,1.509,0.3256649892163911,39.85,0.42075,6.51,1.5090316106372303,39.85,46.25,3.7864597824528,train,,,
2014,Argentina,ARG,LatAm,43.4,4.62,3.99,41.86,14.01,0.04,25.49,3.21,5.8,5.59,40.09,59.86,25.529999999999998,1.4928,0.2845934379457917,40.13,0.41689499999999996,9.01,1.4927680798004987,40.13,45.85,3.7932394694381792,train,,,
2015,Argentina,ARG,LatAm,43.7,4.57,3.56,43.64,13.93,1.16,26.47,1.13,4.3,5.81,37.71,61.13,27.63,1.6206,0.25538020086083213,38.87,0.4255850000000001,5.43,1.620625662778367,38.87,47.2,3.7999735016195233,train,,,
2016,Argentina,ARG,LatAm,44.0,4.53,3.69,42.14,14.49,1.15,23.88,3.07,4.75,6.83,38.53,60.32,25.029999999999998,1.5651,0.25448275862068964,39.68,0.418155,7.82,1.5651271406331084,39.68,45.83,3.8066624897703196,train,,,
2017,Argentina,ARG,LatAm,44.3,4.23,3.55,41.46,12.88,0.26,25.41,4.06,4.62,7.77,41.86,57.88,25.67,1.3824,0.2754072924747866,42.12,0.40440999999999994,8.68,1.3823740148077384,42.12,45.01,3.8133070324889884,train,,,
2018,Argentina,ARG,LatAm,44.6,4.06,3.97,39.74,12.59,2.35,24.79,5.06,6.75,4.76,41.36,56.3,27.14,1.3609,0.3150793650793651,43.71,0.394405,11.809999999999999,1.360889533478366,43.71,43.71,3.8199077165203406,train,,,
2019,Argentina,ARG,LatAm,45.0,3.9,2.34,39.92,15.76,1.72,26.04,2.52,5.21,6.5,40.27,58.02,27.759999999999998,1.4404,0.1483830057070387,41.99,0.39372,7.73,1.4404170804369414,41.99,42.260000000000005,3.828641396489095,train,,,
2020,Argentina,ARG,LatAm,45.3,3.68,4.1,39.98,14.38,0.85,25.27,4.32,4.05,7.06,40.7,58.45,26.12,1.4358,0.28492008339124386,41.55,0.40556,8.370000000000001,1.435765168263326,41.550000000000004,44.08,3.835141961092188,train,,,
2021,Argentina,ARG,LatAm,45.6,3.73,4.44,39.89,13.94,2.56,22.5,5.08,4.99,6.61,39.18,58.26,25.06,1.4866,0.31827956989247314,41.74,0.40630499999999997,10.07,1.4866037254401634,41.74,44.33,3.8416005411316,validation,4.184997642364072,4.7452697583916414,-0.45499764236407225
