date,year,market,currency,price,dayofweek,month,day,is_weekend,day_sin,day_cos,lag_1,lag_2,lag_3,lag_5,lag_7,lag_14,lag_30,roll_mean_7d,roll_mean_30d,roll_std_30d,return_1d,momentum_7d
2013-11-19,2013,California,USD,10.07,1,11,19,0,-0.6644835,0.74730295,,,,,,,,,,0.0,,
2013-11-20,2013,California,USD,10.19,2,11,20,0,-0.6515304,0.7586226,10.07,,,,,,,10.07,,0.0,0.0119,
2013-11-21,2013,California,USD,10.07,3,11,21,0,-0.63838446,0.7697177,10.19,10.07,,,,,,10.13,,0.0,-0.0118,
2013-11-22,2013,California,USD,9.57,4,11,22,0,-0.62504965,0.780585,10.07,10.19,10.07,,,,,10.11,10.11,0.0693,-0.0497,
2013-11-25,2013,California,USD,10.3,0,11,25,0,-0.5839515,0.81178856,9.57,10.07,10.19,,,,,9.975,9.975,0.2759,0.0763,
2013-11-26,2013,California,USD,10.05,1,11,26,0,-0.56990105,0.8217133,10.3,9.57,10.07,10.07,,,,10.04,10.04,0.2796,-0.0243,
2013-11-27,2013,California,USD,10.2,2,11,27,0,-0.55568194,0.8313949,10.05,10.3,9.57,10.19,,,,10.0417,10.0417,0.2502,0.0149,
2013-11-28,2013,California,USD,9.93,3,11,28,0,-0.54129845,0.8408305,10.2,10.05,10.3,10.07,10.07,,,10.0643,10.0643,0.2361,-0.0265,-0.14
2013-11-29,2013,California,USD,9.58,4,11,29,0,-0.52675474,0.8500173,9.93,10.2,10.05,9.57,10.19,,,10.0443,10.0475,0.2237,-0.0352,-0.61
2013-12-02,2013,California,USD,9.49,0,12,2,0,-0.48220584,0.8760579,9.58,9.93,10.2,10.3,10.07,,,9.9571,9.9956,0.2609,-0.0094,-0.58
2013-12-03,2013,California,USD,9.81,1,12,3,0,-0.46706492,0.88422304,9.49,9.58,9.93,10.05,9.57,,,9.8743,9.945,0.2933,0.0337,0.24
2013-12-04,2013,California,USD,10.18,2,12,4,0,-0.4517858,0.89212644,9.81,9.49,9.58,10.2,10.3,,,9.9086,9.9327,0.2813,0.0377,-0.12
2013-12-05,2013,California,USD,10.38,3,12,5,0,-0.43637297,0.89976585,10.18,9.81,9.49,9.93,10.05,,,9.8914,9.9533,0.2775,0.0196,0.33
2013-12-06,2013,California,USD,10.13,4,12,6,0,-0.420831,0.90713906,10.38,10.18,9.81,9.58,10.2,,,9.9386,9.9862,0.2908,-0.0241,-0.07
2013-12-09,2013,California,USD,9.8,0,12,9,0,-0.37347654,0.9276396,10.13,10.38,10.18,9.49,9.93,10.07,,9.9286,9.9964,0.2821,-0.0326,-0.13
2013-12-10,2013,California,USD,9.87,1,12,10,0,-0.3574644,0.93392676,9.8,10.13,10.38,9.81,9.58,10.19,,9.91,9.9833,0.2765,0.0071,0.29
2013-12-11,2013,California,USD,10.42,2,12,11,0,-0.3413465,0.93993753,9.87,9.8,10.13,10.18,9.49,10.07,,9.9514,9.9762,0.2686,0.0557,0.93
2013-12-12,2013,California,USD,9.75,3,12,12,0,-0.3251276,0.9456701,10.42,9.87,9.8,10.38,9.81,9.57,,10.0843,10.0024,0.2815,-0.0643,-0.06
2013-12-13,2013,California,USD,10.62,4,12,13,0,-0.30881247,0.95112294,9.75,10.42,9.87,10.13,10.18,10.3,,10.0757,9.9883,0.2795,0.0892,0.44
2013-12-16,2013,California,USD,10.57,0,12,16,0,-0.25933826,0.9657866,10.62,9.75,10.42,9.8,10.38,10.05,,10.1386,10.0216,0.3078,-0.0047,0.19
2013-12-17,2013,California,USD,10.64,1,12,17,0,-0.24268684,0.9701047,10.57,10.62,9.75,9.87,10.13,10.2,,10.1657,10.049,0.3238,0.0066,0.51
2013-12-18,2013,California,USD,10.19,2,12,18,0,-0.2259636,0.97413576,10.64,10.57,10.62,10.42,9.8,9.93,,10.2386,10.0771,0.3409,-0.0423,0.39
2013-12-19,2013,California,USD,10.01,3,12,19,0,-0.2091735,0.9778786,10.19,10.64,10.57,9.75,9.87,9.58,,10.2943,10.0823,0.3336,-0.0177,0.14
2013-12-20,2013,California,USD,10.19,4,12,20,0,-0.19232151,0.98133194,10.01,10.19,10.64,10.62,10.42,9.49,,10.3143,10.0791,0.3262,0.018,-0.23
2013-12-23,2013,California,USD,10.34,0,12,23,0,-0.14144407,0.98994625,10.19,10.01,10.19,10.57,9.75,9.81,,10.2814,10.0838,0.3199,0.0147,0.59
2013-12-24,2013,California,USD,9.95,1,12,24,0,-0.124394506,0.99223286,10.34,10.19,10.01,10.64,10.62,10.18,,10.3657,10.094,0.3173,-0.0377,-0.67
2013-12-25,2013,California,USD,9.84,2,12,25,0,-0.107308134,0.9942258,9.95,10.34,10.19,10.19,10.57,10.38,,10.27,10.0885,0.3122,-0.0111,-0.73
2013-12-26,2013,California,USD,10.05,3,12,26,0,-0.09019,0.9959246,9.84,9.95,10.34,10.01,10.64,10.13,,10.1657,10.0793,0.3098,0.0213,-0.59
2013-12-27,2013,California,USD,9.93,4,12,27,0,-0.07304519,0.99732864,10.05,9.84,9.95,10.19,10.19,9.8,,10.0814,10.0782,0.3041,-0.0119,-0.26
2013-12-30,2013,California,USD,10.45,0,12,30,0,-0.021501373,0.9997688,9.93,10.05,9.84,10.34,10.01,9.87,,10.0443,10.0731,0.2999,0.0524,0.44
2013-12-31,2013,California,USD,9.98,1,12,31,0,-0.004300593,0.99999076,10.45,9.93,10.05,9.95,10.19,10.42,10.07,10.1071,10.0857,0.3026,-0.045,-0.21
2014-01-01,2014,California,USD,10.16,2,1,1,0,0.017201575,0.99985206,9.98,10.45,9.93,9.84,10.34,9.75,10.19,10.0771,10.0827,0.3032,0.018,-0.18
2014-01-02,2014,California,USD,10.39,3,1,2,0,0.03439806,0.9994082,10.16,9.98,10.45,10.05,9.95,10.62,10.07,10.0514,10.0817,0.3029,0.0226,0.44
2014-01-03,2014,California,USD,10.48,4,1,3,0,0.051584367,0.9986686,10.39,10.16,9.98,9.93,9.84,10.57,9.57,10.1143,10.0923,0.308,0.0087,0.64
