year_month,year,month,region,temp_anomaly_c,temp_anomaly_baseline,co2_ppm,has_co2_ppm,temp_anomaly_roll12m
2000-01,2000,1,Arctic,1.5,1951-1980,,0,1.5
2000-02,2000,2,Arctic,1.535,1951-1980,,0,1.5175
2000-03,2000,3,Arctic,1.551,1951-1980,,0,1.5287
2000-04,2000,4,Arctic,1.561,1951-1980,,0,1.5368
2000-05,2000,5,Arctic,1.552,1951-1980,,0,1.5398
2000-06,2000,6,Arctic,1.564,1951-1980,,0,1.5438
2000-07,2000,7,Arctic,1.604,1951-1980,,0,1.5524
2000-08,2000,8,Arctic,1.601,1951-1980,,0,1.5585
2000-09,2000,9,Arctic,1.596,1951-1980,,0,1.5627
2000-10,2000,10,Arctic,1.604,1951-1980,,0,1.5668
2000-11,2000,11,Arctic,1.736,1951-1980,,0,1.5822
2000-12,2000,12,Arctic,1.673,1951-1980,,0,1.5898
2001-01,2001,1,Arctic,1.664,1951-1980,,0,1.6034
2001-02,2001,2,Arctic,1.775,1951-1980,,0,1.6234
2001-03,2001,3,Arctic,1.864,1951-1980,,0,1.6495
2001-04,2001,4,Arctic,1.716,1951-1980,,0,1.6624
2001-05,2001,5,Arctic,1.798,1951-1980,,0,1.6829
2001-06,2001,6,Arctic,1.879,1951-1980,,0,1.7092
2001-07,2001,7,Arctic,1.815,1951-1980,,0,1.7268
2001-08,2001,8,Arctic,1.822,1951-1980,,0,1.7452
2001-09,2001,9,Arctic,1.895,1951-1980,,0,1.7701
2001-10,2001,10,Arctic,1.912,1951-1980,,0,1.7958
2001-11,2001,11,Arctic,1.931,1951-1980,,0,1.812
2001-12,2001,12,Arctic,1.915,1951-1980,,0,1.8322
2002-01,2002,1,Arctic,1.963,1951-1980,,0,1.8571
2002-02,2002,2,Arctic,2.009,1951-1980,,0,1.8766
2002-03,2002,3,Arctic,2.0,1951-1980,,0,1.8879
2002-04,2002,4,Arctic,2.063,1951-1980,,0,1.9168
2002-05,2002,5,Arctic,2.038,1951-1980,,0,1.9368
2002-06,2002,6,Arctic,2.045,1951-1980,,0,1.9507
2002-07,2002,7,Arctic,2.071,1951-1980,,0,1.972
2002-08,2002,8,Arctic,2.078,1951-1980,,0,1.9933
2002-09,2002,9,Arctic,2.203,1951-1980,,0,2.019
2002-10,2002,10,Arctic,2.175,1951-1980,,0,2.0409
2002-11,2002,11,Arctic,2.221,1951-1980,,0,2.0651
2002-12,2002,12,Arctic,2.242,1951-1980,,0,2.0923
2003-01,2003,1,Arctic,2.237,1951-1980,,0,2.1152
2003-02,2003,2,Arctic,2.203,1951-1980,,0,2.1313
2003-03,2003,3,Arctic,2.217,1951-1980,,0,2.1494
2003-04,2003,4,Arctic,2.242,1951-1980,,0,2.1643
2003-05,2003,5,Arctic,2.335,1951-1980,,0,2.1891
2003-06,2003,6,Arctic,2.291,1951-1980,,0,2.2096
2003-07,2003,7,Arctic,2.183,1951-1980,,0,2.2189
2003-08,2003,8,Arctic,2.149,1951-1980,,0,2.2248
2003-09,2003,9,Arctic,2.09,1951-1980,,0,2.2154
2003-10,2003,10,Arctic,2.03,1951-1980,,0,2.2033
2003-11,2003,11,Arctic,2.056,1951-1980,,0,2.1896
2003-12,2003,12,Arctic,2.196,1951-1980,,0,2.1858
2004-01,2004,1,Arctic,2.183,1951-1980,,0,2.1812
2004-02,2004,2,Arctic,2.105,1951-1980,,0,2.1731
2004-03,2004,3,Arctic,2.105,1951-1980,,0,2.1638
2004-04,2004,4,Arctic,2.084,1951-1980,,0,2.1506
2004-05,2004,5,Arctic,2.02,1951-1980,,0,2.1243
2004-06,2004,6,Arctic,2.008,1951-1980,,0,2.1008
2004-07,2004,7,Arctic,1.939,1951-1980,,0,2.0804
2004-08,2004,8,Arctic,1.917,1951-1980,,0,2.0611
2004-09,2004,9,Arctic,1.953,1951-1980,,0,2.0497
2004-10,2004,10,Arctic,1.95,1951-1980,,0,2.043
2004-11,2004,11,Arctic,1.893,1951-1980,,0,2.0294
2004-12,2004,12,Arctic,1.893,1951-1980,,0,2.0042
2005-01,2005,1,Arctic,1.894,1951-1980,,0,1.9801
